Id,WeaponClass,FullName,HitSound
0,Unarmed,Unarmed,_hit_fist1/_hit_fist2/_hit_fist3/_hit_fist4
1,Dagger,Dagger,_hit_sword
2,Sword,Sword,_hit_sword
3,2HSword,Sword (2-Handed),_hit_sword
4,Spear,Spear,_hit_spear
5,2HSpear,Spear (2-Handed),_hit_spear
6,Axe,Axe,_hit_axe
7,2HAxe,Axe (2-Handed),_hit_axe
8,Mace,Mace,_hit_mace
9,2HMace,Mace (2-Handed),_hit_mace
10,Rod,Rod,_hit_rod
11,2HRod,Rod (2-Handed),_hit_rod
12,Bow,Bow,_hit_arrow
13,Instrument,Instrument,_hit_mace
14,Whip,Whip,_hit_mace
15,Book,Book,_hit_mace
16,Katar,Katar,_hit_mace
17,Knuckle,Knuckle,_hit_mace
18,Pistol,Pistol,_hit_권총
19,Rifle,Rifle,_hit_라이플
20,GatlingGun,Gatling Gun,_hit_개틀링한발
21,Shotgun,Shotgun,_hit_샷건
22,Grenade,Grenade Launcher,_hit_그레네이드런쳐
23,Shuriken,Huuma Shuriken,_hit_sword
